week_start,week_end,KS_cases,NM_cases,TX_cases,AZ_cases,UT_cases
2025-01-05,2025-01-11,0,0,0,0,0
2025-01-12,2025-01-18,0,0,0,0,0
2025-01-19,2025-01-25,0,0,11,0,0
2025-01-26,2025-02-01,1,0,20,0,0
2025-02-02,2025-02-08,1,0,27,0,0
2025-02-09,2025-02-15,0,14,50,0,0
2025-02-16,2025-02-22,0,6,68,0,0
2025-02-23,2025-03-01,1,8,61,0,0
2025-03-02,2025-03-08,1,6,68,0,0
2025-03-09,2025-03-15,7,6,65,0,0
2025-03-16,2025-03-22,9,3,84,0,0
2025-03-23,2025-03-29,6,6,67,0,0
2025-03-30,2025-04-05,7,10,67,0,0
2025-04-06,2025-04-12,5,5,55,0,0
2025-04-13,2025-04-19,2,1,44,0,0
2025-04-20,2025-04-26,8,2,23,0,0
2025-04-27,2025-05-03,3,5,23,0,0
2025-05-04,2025-05-10,9,3,11,0,0
2025-05-11,2025-05-17,1,2,8,0,0
2025-05-18,2025-05-24,10,2,16,0,0
2025-05-25,2025-05-31,2,2,11,0,0
2025-06-01,2025-06-07,3,0,5,0,0
2025-06-08,2025-06-14,3,0,2,4,0
2025-06-15,2025-06-21,1,7,3,0,1
2025-06-22,2025-06-28,6,7,6,0,2
2025-06-29,2025-07-05,2,0,2,0,6
2025-07-06,2025-07-12,2,0,0,0,1
2025-07-13,2025-07-19,0,1,1,0,0
2025-07-20,2025-07-26,0,0,0,0,1
2025-07-27,2025-08-02,0,1,0,0,0
2025-08-03,2025-08-09,0,1,3,0,0
2025-08-10,2025-08-16,0,2,0,1,0
2025-08-17,2025-08-23,0,0,0,19,1
2025-08-24,2025-08-30,0,0,0,0,1
2025-08-31,2025-09-06,0,0,1,6,3
2025-09-07,2025-09-13,0,0,0,11,9
2025-09-14,2025-09-20,0,0,0,13,7
2025-09-21,2025-09-27,0,0,0,0,14
2025-09-28,2025-10-04,0,0,0,8,5
2025-10-05,2025-10-11,0,0,0,4,4
2025-10-12,2025-10-18,0,0,0,12,2
2025-10-19,2025-10-25,0,0,0,8,5
2025-10-26,2025-11-01,0,0,0,14,3
2025-11-02,2025-11-08,0,0,0,3,4
2025-11-09,2025-11-15,0,0,0,25,5
